DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare2ndQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare,Code,Name,Sector
2022-07-29 00:00:00+09:00,15:00:00,69630,20220727505826,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,125112000000.0,22525000000.0,35261000000.0,26105000000.0,266.01,257.92,1059865000000.0,877764000000.0,0.828,,,,,,,,,,,100.0,100.0,200.0,,,,,252000000000.0,39000000000.0,36000000000.0,32000000000.0,326.07,,,,,,510000000000.0,76000000000.0,74000000000.0,60000000000.0,611.38,,,,,,False,False,False,False,False,103000000.0,4861293.0,98138427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6963,ローム,電気機器
2022-07-29 00:00:00+09:00,16:00:00,42720,20220729507444,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,48296000000.0,6380000000.0,8634000000.0,5957000000.0,35.41,35.4,325364000000.0,252525000000.0,0.773,,,,,,,,,,,20.0,20.0,40.0,,,,,103900000000.0,12600000000.0,15000000000.0,10500000000.0,62.41,,,,,,210000000000.0,23800000000.0,26600000000.0,19400000000.0,115.31,,,,,,False,False,False,False,False,170503570.0,2258052.0,168245559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4272,日本化薬,化学
2022-08-01 00:00:00+09:00,15:00:00,31320,20220801509092,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,241320000000.0,12265000000.0,11280000000.0,7857000000.0,126.29,,405506000000.0,191606000000.0,0.447,,4211000000.0,-835000000.0,-3267000000.0,27249000000.0,,,,,,60.0,60.0,120.0,,,,,464000000000.0,22000000000.0,20500000000.0,14000000000.0,225.02,,,,,,930000000000.0,44000000000.0,41600000000.0,28000000000.0,450.05,,,,,,False,False,False,False,False,63030582.0,814802.0,62215780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3132,マクニカホールディングス,商社
2022-08-02 00:00:00+09:00,15:00:00,77290,20220725504158,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,27919000000.0,5691000000.0,6496000000.0,4812000000.0,118.38,117.29,191927000000.0,132863000000.0,0.684,,,,,,,,,,,109.0,109.0,218.0,,,,,74500000000.0,15300000000.0,15300000000.0,10800000000.0,265.0,,,,,,150000000000.0,31100000000.0,31100000000.0,22000000000.0,541.0,,,,,,False,False,True,False,False,41885581.0,1222956.0,40654243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7729,東京精密,精密機器
2022-08-04 00:00:00+09:00,15:00:00,41860,20220727505914,2QFinancialStatements_Consolidated_JP,2Q,2022-01-01,2022-06-30 00:00:00+09:00,2022-01-01 00:00:00+09:00,2022-12-31 00:00:00+09:00,,,84711000000.0,14810000000.0,15353000000.0,9723000000.0,241.92,241.52,231295000000.0,175262000000.0,0.717,4117.91,9187000000.0,-788000000.0,-5664000000.0,46702000000.0,78.0,,,,,,80.0,158.0,,,,,,,,,,,,,,,171800000000.0,30000000000.0,31000000000.0,20400000000.0,506.59,,,,,,False,True,False,False,False,42600000.0,2348963.0,40193516.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4186,東京応化工業,化学
2022-08-04 00:00:00+09:00,15:00:00,34360,20220726504868,2QFinancialStatements_Consolidated_JP,2Q,2022-01-01,2022-06-30 00:00:00+09:00,2022-01-01 00:00:00+09:00,2022-12-31 00:00:00+09:00,,,207412000000.0,49751000000.0,50929000000.0,31324000000.0,89.46,,850353000000.0,565444000000.0,0.6,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,False,False,350175139.0,7900.0,350167244.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3436,ＳＵＭＣＯ,非鉄・金属
2022-08-04 00:00:00+09:00,15:00:00,81540,20220803511084,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,149302000000.0,9820000000.0,9858000000.0,6984000000.0,266.1,,286756000000.0,115119000000.0,0.401,,,,,,,,,,,70.0,80.0,150.0,,,,,,,,,,,,,,,540000000000.0,24000000000.0,24500000000.0,16000000000.0,609.58,,,,,,False,True,False,False,False,28702118.0,2454375.0,26247868.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8154,加賀電子,商社
2022-08-04 00:00:00+09:00,15:30:00,77410,20220803511343,1QFinancialStatements_Consolidated_IFRS,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,180179000000.0,,,48358000000.0,132.83,132.73,1023816000000.0,816410000000.0,0.811,,,,,420166000000.0,,,,,,,,,,,,,360000000000.0,,,90500000000.0,249.5,,,,,,730000000000.0,,,,,,,,,,False,False,False,False,,365779420.0,4135476.0,364065498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7741,ＨＯＹＡ,精密機器
2022-08-05 00:00:00+09:00,15:00:00,67070,20220804511603,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,49632000000.0,935000000.0,1173000000.0,157000000.0,6.54,6.36,271267000000.0,151939000000.0,0.378,,,,,,,,,,,15.0,15.0,30.0,,,,,94000000000.0,8500000000.0,8000000000.0,2200000000.0,91.15,,,,,,190000000000.0,21000000000.0,20000000000.0,6700000000.0,277.61,,,,,,False,True,False,False,False,25098060.0,961528.0,24136400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6707,サンケン電気,電気機器
2022-08-05 00:00:00+09:00,16:00:00,69200,20220805512808,FYFinancialStatements_Consolidated_JP,FY,2021-07-01,2022-06-30 00:00:00+09:00,2021-07-01 00:00:00+09:00,2022-06-30 00:00:00+09:00,2022-07-01,2023-06-30,90378000000.0,32492000000.0,33582000000.0,24850000000.0,275.57,275.34,178629000000.0,72747000000.0,0.407,806.45,-3464000000.0,-5387000000.0,2149000000.0,23420000000.0,32.0,65.0,97.0,8747000000.0,0.352,,,,52.0,77.0,129.0,0.353,,,,,,,,,,,,,,,,140000000000.0,42000000000.0,42000000000.0,33000000000.0,365.93,False,True,False,False,False,94286400.0,4105696.0,90179856.0,82016000000.0,27334000000.0,29592000000.0,22113000000.0,245.22,167749000000.0,66176000000.0,0.394,733.58,,,,,,,,,,,,,,,,,,,6920,レーザーテック,電気機器
2022-08-08 00:00:00+09:00,11:30:00,42030,20220808514039,1QFinancialStatements_Consolidated_IFRS,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,71733000000.0,6732000000.0,,4711000000.0,100.11,,377295000000.0,246969000000.0,0.649,,3060000000.0,-5046000000.0,-14510000000.0,99673000000.0,,,,,,60.0,60.0,120.0,,,,,,,,,,,,,,,290000000000.0,,,21000000000.0,446.28,,,,,,False,False,False,False,,49590478.0,2535178.0,47055512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4203,住友ベークライト,化学
2022-08-08 00:00:00+09:00,15:30:00,63150,20220721502525,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,14592000000.0,2859000000.0,3223000000.0,2357000000.0,94.28,,73110000000.0,43163000000.0,0.585,,,,,,,,,,,0.0,40.0,40.0,,,,,27000000000.0,6030000000.0,6030000000.0,4220000000.0,168.74,,,,,,55000000000.0,12200000000.0,12200000000.0,8500000000.0,339.88,,,,,,False,False,False,False,False,25021832.0,13221.0,25008611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6315,ＴＯＷＡ,機械
2022-08-08 00:00:00+09:00,15:30:00,80350,20220722503342,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,473654000000.0,117519000000.0,117692000000.0,88095000000.0,565.59,562.98,1846911000000.0,1314847000000.0,0.704,,,,,,,,,,,751.0,927.0,1678.0,,,,,1100000000000.0,319000000000.0,319000000000.0,234000000000.0,1502.29,,,,,,2350000000000.0,716000000000.0,716000000000.0,523000000000.0,3357.63,,,,,,False,False,False,False,False,157210911.0,1443724.0,155756620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8035,東京エレクトロン,電気機器
2022-08-09 00:00:00+09:00,15:00:00,67280,20220809515489,FYFinancialStatements_Consolidated_JP,FY,2021-07-01,2022-06-30 00:00:00+09:00,2021-07-01 00:00:00+09:00,2022-06-30 00:00:00+09:00,2022-07-01,2023-06-30,241260000000.0,30061000000.0,32200000000.0,20211000000.0,410.37,,354304000000.0,196484000000.0,0.533,3837.17,33931000000.0,-7432000000.0,-6445000000.0,107106000000.0,,124.0,124.0,6120000000.0,0.302,,,,,141.0,141.0,0.302,,,,,,118000000000.0,13500000000.0,14000000000.0,9200000000.0,186.81,,,,,,250000000000.0,34500000000.0,35500000000.0,23000000000.0,467.01,False,True,False,False,False,49355938.0,106961.0,49248995.0,108458000000.0,11287000000.0,21596000000.0,18656000000.0,378.75,230448000000.0,126352000000.0,0.548,2565.25,,,,,,,,,,,,,,,,,,,6728,アルバック,電気機器
2022-08-10 00:00:00+09:00,13:00:00,44010,20220809516426,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,101718000000.0,9060000000.0,10437000000.0,6137000000.0,59.58,,496551000000.0,304022000000.0,0.514,,,,,,,,,,,35.0,35.0,70.0,,,,,203000000000.0,15600000000.0,15600000000.0,9800000000.0,95.14,,,,,,420000000000.0,37000000000.0,36900000000.0,22000000000.0,213.58,,,,,,False,False,True,False,False,103768142.0,760586.0,103007581.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4401,ＡＤＥＫＡ,化学
2022-08-10 00:00:00+09:00,15:00:00,67230,20220810517826,2QFinancialStatements_Consolidated_IFRS,2Q,2022-01-01,2022-06-30 00:00:00+09:00,2022-01-01 00:00:00+09:00,2022-12-31 00:00:00+09:00,,,722908000000.0,210005000000.0,,110437000000.0,56.96,55.82,2858842000000.0,1467728000000.0,0.509,,228303000000.0,-49813000000.0,-181242000000.0,247854000000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,,1952747173.0,168069831.0,1938971343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6723,ルネサスエレクトロニクス,電気機器
2022-08-12 00:00:00+09:00,15:30:00,68900,20220810518548,1QFinancialStatements_Consolidated_JP,1Q,2022-04-01,2022-06-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,43386000000.0,7791000000.0,10204000000.0,7355000000.0,164.78,156.9,315282000000.0,197378000000.0,0.489,3393.73,,,,,,,,,,35.0,35.0,70.0,,,,,90000000000.0,16000000000.0,19000000000.0,12000000000.0,266.37,,,,,,195000000000.0,32500000000.0,34000000000.0,20000000000.0,440.15,,,,,,False,True,False,False,False,45533630.0,94096.0,44641863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6890,フェローテックホールディングス,電気機器
2022-08-31 00:00:00+09:00,15:00:00,43690,20220824523770,2QFinancialStatements_Consolidated_JP,2Q,2022-02-01,2022-07-31 00:00:00+09:00,2022-02-01 00:00:00+09:00,2023-01-31 00:00:00+09:00,,,6548000000.0,1911000000.0,3508000000.0,2703000000.0,83.2,,30301000000.0,23777000000.0,0.785,,4496128000.0,-1037589000.0,-1179254000.0,10306661000.0,0.0,,,,,,22.0,22.0,,,,,,,,,,,,,,,13600000000.0,3621000000.0,6648000000.0,5193000000.0,159.82,,,,,,False,True,False,False,False,32498640.0,1610.0,32497052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4369,トリケミカル研究所,化学
2022-09-29 00:00:00+09:00,15:30:00,27600,20220927536714,EarnForecastRevision,2Q,2022-04-01,2022-09-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000000000.0,,4850000000.0,3350000000.0,338.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2760,東京エレクトロン　デバイス,商社
2022-10-06 00:00:00+09:00,15:00:00,69630,20221005541060,EarnForecastRevision,2Q,2022-04-01,2022-09-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259500000000.0,50000000000.0,70000000000.0,52000000000.0,529.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6963,ローム,電気機器
2022-10-11 00:00:00+09:00,15:00:00,63230,20220831526335,2QFinancialStatements_Consolidated_JP,2Q,2022-03-01,2022-08-31 00:00:00+09:00,2022-03-01 00:00:00+09:00,2023-02-28 00:00:00+09:00,,,45753000000.0,10932000000.0,16901000000.0,12366000000.0,715.61,714.27,111078000000.0,66079000000.0,0.542,,,,,,0.0,,,,,,110.0,110.0,,,,,,,,,,,,,,,96466000000.0,23225000000.0,30805000000.0,22793000000.0,1318.94,,,,,,False,True,False,False,False,17640000.0,358695.0,17281305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6323,ローツェ,機械
2022-10-20 00:00:00+09:00,16:00:00,61460,20221014544995,2QFinancialStatements_Consolidated_JP,2Q,2022-04-01,2022-09-30 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,139281000000.0,54870000000.0,57582000000.0,40673000000.0,1126.9,1123.3,428166000000.0,316776000000.0,0.737,,38261000000.0,-7379000000.0,-21965000000.0,136405000000.0,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,36100571.0,5115.0,36093239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6146,ディスコ,精密機器
2022-10-20 00:00:00+09:00,16:00:00,61460,20221019546425,EarnForecastRevision,3Q,2022-04-01,2022-12-31 00:00:00+09:00,2022-04-01 00:00:00+09:00,2023-03-31 00:00:00+09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170000000000.0,63100000000.0,82000000000.0,60900000000.0,1687.19,,,,,6146,ディスコ,精密機器
